Project Code,Data Type,RES_SEC,Date,Hour,Value
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,1,636.161
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,2,636.15
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,3,636.153
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,4,636.149
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,5,636.131
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,6,636.143
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,7,636.13
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,8,636.13
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,9,636.124
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,10,636.12
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,11,636.113
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,12,636.112
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,13,636.115
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,14,636.1
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,15,636.104
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,16,636.097
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,17,636.091
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,18,636.097
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,19,636.082
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,20,636.087
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,21,636.082
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,22,636.08
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,23,636.072
BRR,RSE,R1 - Carpenter Reservoir,2010-01-01,24,636.062
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,1,636.067
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,2,636.054
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,3,636.056
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,4,636.045
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,5,636.04
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,6,636.035
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,7,636.021
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,8,636.029
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,9,636.02
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,10,636.02
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,11,636.01
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,12,636.01
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,13,636
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,14,635.998
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,15,635.99
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,16,635.987
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,17,635.987
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,18,635.988
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,19,635.977
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,20,635.978
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,21,635.967
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,22,635.969
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,23,635.967
BRR,RSE,R1 - Carpenter Reservoir,2010-01-02,24,635.957
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,1,635.95
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,2,635.947
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,3,635.936
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,4,635.937
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,5,635.93
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,6,635.927
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,7,635.92
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,8,635.915
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,9,635.91
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,10,635.903
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,11,635.893
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,12,635.883
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,13,635.871
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,14,635.87
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,15,635.852
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,16,635.85
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,17,635.841
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,18,635.833
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,19,635.82
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,20,635.816
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,21,635.804
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,22,635.793
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,23,635.793
BRR,RSE,R1 - Carpenter Reservoir,2010-01-03,24,635.781
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,1,635.791
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,2,635.786
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,3,635.797
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,4,635.792
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,5,635.809
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,6,635.79
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,7,635.789
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,8,635.778
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,9,635.775
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,10,635.766
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,11,635.752
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,12,635.757
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,13,635.73
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,14,635.728
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,15,635.717
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,16,635.71
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,17,635.703
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,18,635.685
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,19,635.686
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,20,635.674
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,21,635.67
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,22,635.665
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,23,635.67
BRR,RSE,R1 - Carpenter Reservoir,2010-01-04,24,635.663
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,1,635.664
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,2,635.668
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,3,635.678
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,4,635.689
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,5,635.685
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,6,635.69
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,7,635.69
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,8,635.684
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,9,635.67
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,10,635.686
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,11,635.66
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,12,635.665
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,13,635.645
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,14,635.632
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,15,635.634
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,16,635.611
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,17,635.62
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,18,635.597
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,19,635.59
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,20,635.584
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,21,635.57
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,22,635.565
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,23,635.567
BRR,RSE,R1 - Carpenter Reservoir,2010-01-05,24,635.57
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,1,635.57
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,2,635.567
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,3,635.563
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,4,635.568
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,5,635.565
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,6,635.557
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,7,635.555
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,8,635.538
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,9,635.53
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,10,635.527
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,11,635.516
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,12,635.51
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,13,635.498
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,14,635.488
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,15,635.486
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,16,635.464
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,17,635.468
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,18,635.456
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,19,635.44
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,20,635.438
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,21,635.429
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,22,635.417
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,23,635.404
BRR,RSE,R1 - Carpenter Reservoir,2010-01-06,24,635.418
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,1,635.4
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,2,635.407
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,3,635.405
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,4,635.409
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,5,635.41
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,6,635.401
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,7,635.4
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,8,635.391
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,9,635.377
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,10,635.378
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,11,635.359
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,12,635.36
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,13,635.337
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,14,635.338
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,15,635.33
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,16,635.313
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,17,635.315
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,18,635.288
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,19,635.289
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,20,635.272
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,21,635.27
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,22,635.261
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,23,635.242
BRR,RSE,R1 - Carpenter Reservoir,2010-01-07,24,635.247
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,1,635.237
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,2,635.23
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,3,635.233
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,4,635.237
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,5,635.234
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,6,635.234
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,7,635.21
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,8,635.218
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,9,635.205
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,10,635.195
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,11,635.188
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,12,635.18
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,13,635.166
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,14,635.152
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,15,635.16
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,16,635.14
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,17,635.14
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,18,635.127
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,19,635.11
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,20,635.108
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,21,635.098
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,22,635.087
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,23,635.08
BRR,RSE,R1 - Carpenter Reservoir,2010-01-08,24,635.08
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,1,635.076
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,2,635.084
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,3,635.082
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,4,635.08
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,5,635.08
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,6,635.08
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,7,635.08
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,8,635.08
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,9,635.069
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,10,635.06
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,11,635.056
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,12,635.046
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,13,635.029
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,14,635.029
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,15,635.012
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,16,635.001
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,17,635
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,18,634.991
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,19,634.98
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,20,634.972
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,21,634.967
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,22,634.95
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,23,634.948
BRR,RSE,R1 - Carpenter Reservoir,2010-01-09,24,634.943
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,1,634.95
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,2,634.943
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,3,634.943
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,4,634.946
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,5,634.944
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,6,634.939
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,7,634.922
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,8,634.929
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,9,634.901
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,10,634.909
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,11,634.898
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,12,634.885
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,13,634.876
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,14,634.861
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,15,634.86
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,16,634.841
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,17,634.848
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,18,634.83
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,19,634.827
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,20,634.814
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,21,634.804
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,22,634.798
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,23,634.783
BRR,RSE,R1 - Carpenter Reservoir,2010-01-10,24,634.788
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,1,634.778
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,2,634.779
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,3,634.787
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,4,634.78
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,5,634.78
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,6,634.78
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,7,634.775
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,8,634.77
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,9,634.765
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,10,634.758
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,11,634.748
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,12,634.735
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,13,634.734
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,14,634.723
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,15,634.712
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,16,634.702
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,17,634.691
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,18,634.69
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,19,634.685
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,20,634.67
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,21,634.666
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,22,634.654
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,23,634.654
BRR,RSE,R1 - Carpenter Reservoir,2010-01-11,24,634.65
BRR,RSE,R1 - Carpenter Reservoir,2010-01-12,1,634.65
BRR,RSE,R1 - Carpenter Reservoir,2010-01-12,2,634.657
BRR,RSE,R1 - Carpenter Reservoir,2010-01-12,3,634.66
BRR,RSE,R1 - Carpenter Reservoir,2010-01-12,4,634.667
BRR,RSE,R1 - Carpenter Reservoir,2010-01-12,5,634.662
BRR,RSE,R1 - Carpenter Reservoir,2010-01-12,6,634.66
BRR,RSE,R1 - Carpenter Reservoir,2010-01-12,7,634.664
BRR,RSE,R1 - Carpenter Reservoir,2010-01-12,8,634.65
BRR,RSE,R1 - Carpenter Reservoir,2010-01-12,9,634.646
BRR,RSE,R1 - Carpenter Reservoir,2010-01-12,10,634.636
BRR,RSE,R1 - Carpenter Reservoir,2010-01-12,11,634.626
BRR,RSE,R1 - Carpenter Reservoir,2010-01-12,12,634.615
