BRIDGE AREA WATER DATA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MONTH:,Apr 2015,,,,,,,,,,,,,,,
Updated:,01/May/15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,DOWNTON,CARPENTER,TERZAGHI,SETON,SETON,SETON River (nr LIL),,CAYOOSH,,FRASER R. @ HOPE,,,,,,
,LAKE,LAKE,LLO,DAM FB,SPAWNING ,WSC Gauge,,,,,,,,,,
,ELEV. (m),ELEV. (m),FLOW,ELEV. (m),CHANNEL SYPHONS,(daily average),,FLOW (m3/s),DILUTION,FLOW (m3/s),,,,,,
DAY,@ 7k,@ 7k,(daily average),(daily average),(daily average 00-24),00:00 to 24:00,,(m3/s),%,(m3/s),,,,,,
,,,00:00 to 24:00,00:00 to 24:00,m3/s,m3/s,cfs,Daily Avg,Daily Avg,Daily Avg,,,,,,
1,726.90,632.36,3.03,236.12,2.112,12.52,442.05,4.38,23,9108,,,,,,
2,726.65,632.46,4.42,236.14,2.112,13.44,474.72,3.01,16,5277,,,,,,
3,726.38,632.53,6.08,236.11,2.112,13.73,484.99,1.78,10,5280,,,,,,
4,726.12,632.61,6.09,236.11,2.112,13.67,482.91,1.78,10,4996,,,,,,
5,725.84,632.69,6.09,236.14,2.112,13.93,492.04,1.77,10,4586,,,,,,
6,725.56,632.76,6.10,236.12,2.112,13.75,485.64,1.90,11,4265,,,,,,
7,725.28,632.82,6.11,236.11,2.112,13.63,481.42,2.02,11,4021,,,,,,
8,725.00,632.88,6.11,236.10,2.112,13.55,478.39,1.63,9,3836,,,,,,
9,724.71,632.95,6.12,236.09,2.112,13.48,475.97,1.62,9,3677,,,,,,
10,724.41,633.01,6.12,236.09,2.112,13.44,474.54,1.61,9,3525,,,,,,
11,724.12,633.08,6.13,236.09,2.112,13.47,475.57,1.61,9,3408,,,,,,
12,723.83,633.13,6.13,236.12,2.112,13.58,479.72,1.61,9,3301,,,,,,
13,723.53,633.18,6.14,236.12,2.112,13.53,477.86,1.60,9,3243,,,,,,
14,723.30,633.21,6.14,236.13,2.112,13.71,484.11,1.60,9,3206,,,,,,
15,723.12,633.19,6.14,236.15,2.112,13.83,488.34,1.94,11,3134,,,,,,
16,722.97,633.16,7.68,236.20,2.112,21.17,747.66,1.92,8,3023,,,,,,
17,722.83,633.12,8.56,236.16,2.112,29.22,1031.73,1.60,5,2987,,,,,,
18,722.69,633.08,8.55,236.14,2.112,29.17,1030.29,1.62,5,2929,,,,,,
19,722.54,633.05,8.54,236.14,2.112,29.08,1027.05,1.62,5,2902,,,,,,
20,722.40,633.01,8.54,236.13,2.112,29.11,1028.16,1.64,5,3016,,,,,,
21,722.27,633.00,8.54,236.09,2.112,28.84,1018.45,1.67,5,3128,,,,,,
22,722.17,633.00,8.54,236.10,2.112,28.91,1020.93,1.70,5,3157,,,,,,
23,722.07,633.02,9.76,236.14,2.112,27.92,985.98,1.72,5,3172,,,,,,
24,721.95,633.02,11.14,236.16,2.112,24.92,880.03,1.72,6,3384,,,,,,
25,721.84,633.01,11.13,236.13,2.112,24.70,872.27,1.72,6,3799,,,,,,
26,721.70,632.96,11.13,236.09,2.112,24.44,863.09,1.71,6,3938,,,,,,
27,721.57,632.93,11.12,236.18,2.112,25.13,887.32,1.71,6,3863,,,,,,
28,721.44,632.93,11.12,236.18,2.112,25.01,883.19,1.72,6,3837,,,,,,
29,721.40,632.93,11.12,236.15,2.112,24.74,873.70,2.05,7,3819,,,,,,
30,721.32,632.94,11.13,236.17,2.112,24.85,877.47,1.82,6,3783,,,,,,
31,,,,,,, ,, ,,,,,,,
,,,,,,,,,,,,,,,,
,,Grey = estimated,,,,,,,,,,,,,,
,,Red = Revised,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Elevations Readings are taken approximately 7:00 am,,,,,,,,,,,,,,,,
"NOTE:   As of Jan 01, 2011, we are using SETON Dam Forebay elevation instead of Lake level.",,,,,,,,,,,,,,,,
BC Hydro,Fax 604-528-8149,,,,,,,,,,,,,,,
Wuben Luo,604-528-2848,,,,,,,,,,,,,,,
Janet Wong,604-528-2142,,,,,,,,,,,,,,,
Jim McNaughton,604-528-1739,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
