BRIDGE AREA WATER DATA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MONTH:,May 2015,,,,,,,,,,,,,,,
Updated:,01/Jun/15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,DOWNTON,CARPENTER,TERZAGHI,SETON,SETON,SETON River (nr LIL),,CAYOOSH,,FRASER R. @ HOPE,,,,,,
,LAKE,LAKE,LLO,DAM FB,SPAWNING ,WSC Gauge,,,,,,,,,,
,ELEV. (m),ELEV. (m),FLOW,ELEV. (m),CHANNEL SYPHONS,(daily average),,FLOW (m3/s),DILUTION,FLOW (m3/s),,,,,,
DAY,@ 7k,@ 7k,(daily average),(daily average),(daily average 00-24),00:00 to 24:00,,(m3/s),%,(m3/s),,,,,,
,,,00:00 to 24:00,00:00 to 24:00,m3/s,m3/s,cfs,Daily Avg,Daily Avg,Daily Avg,,,,,,
1,721.24,632.95,11.13,236.15,2.112,24.68,871.61,1.82,6,3860,,,,,,
2,721.15,632.95,11.13,236.11,2.112,24.45,863.54,1.81,6,4014,,,,,,
3,721.05,632.95,11.13,236.15,2.112,24.63,869.90,1.81,6,4076,,,,,,
4,720.95,632.95,11.12,236.14,2.112,24.62,869.52,1.80,6,4129,,,,,,
5,720.86,632.93,11.12,236.13,2.112,24.54,866.47,1.81,6,4098,,,,,,
6,720.76,632.91,11.12,236.14,2.112,24.55,866.85,1.81,6,3944,,,,,,
7,720.66,632.90,12.29,236.15,2.112,24.60,868.87,1.80,6,3787,,,,,,
8,720.55,632.93,13.08,236.14,2.112,24.54,866.45,1.87,7,3787,,,,,,
9,720.47,632.95,13.08,236.12,2.112,24.42,862.29,2.00,7,3683,,,,,,
10,720.42,632.99,13.09,236.16,2.112,24.71,872.79,2.01,7,3658,,,,,,
11,720.39,633.06,13.11,236.16,2.112,24.69,871.79,2.03,7,3694,,,,,,
12,720.46,633.20,13.14,236.17,2.112,24.83,876.89,4.35,14,3790,,,,,,
13,720.58,633.38,13.17,236.17,2.112,24.74,873.79,7.00,21,3971,,,,,,
14,720.71,633.58,13.21,236.15,2.112,24.62,869.47,8.09,23,4304,,,,,,
15,720.89,633.78,13.25,236.14,2.112,24.49,865.00,12.82,33,4693,,,,,,
16,721.10,634.00,13.30,236.12,2.112,24.37,860.46,17.81,40,5002,,,,,,
17,721.32,634.23,13.34,236.10,2.112,24.29,857.96,20.63,44,5179,,,,,,
18,721.55,634.47,13.39,236.09,2.112,24.24,856.00,23.91,48,7146,,,,,,
19,721.81,634.73,13.44,236.10,2.112,24.26,856.80,29.54,53,5394,,,,,,
20,722.11,635.11,13.51,236.17,2.112,26.28,928.08,32.87,54,5498,,,,,,
21,722.46,635.35,13.56,236.13,2.112,28.26,998.04,36.16,54,5580,,,,,,
22,722.88,635.68,13.82,236.14,2.112,28.54,1007.80,46.21,60,5786,,,,,,
23,723.39,636.12,14.22,236.16,2.112,28.70,1013.64,68.27,69,6150,,,,,,
24,723.89,636.60,14.31,236.11,2.112,28.33,1000.51,68.60,69,6487,,,,,,
25,724.32,637.00,14.38,236.08,2.112,28.15,994.09,60.78,67,6735,,,,,,
26,724.72,637.37,14.45,236.04,2.112,28.05,990.72,55.23,65,7017,,,,,,
27,725.23,637.75,14.53,236.02,2.112,27.97,987.85,54.21,64,7304,,,,,,
28,725.81,638.17,14.61,236.00,2.112,29.57,1044.10,58.48,65,7433,,,,,,
29,726.35,638.61,14.69,235.97,2.112,32.25,1138.84,69.06,67,7495,,,,,,
30,726.93,639.07,14.78,236.01,2.112,32.39,1143.96,60.29,64,7571,,,,,,
31,727.44,639.47,14.85,236.05,2.112,32.53,1148.86,54.30,61,7962,,,,,,
,,,,,,,,,,,,,,,,
,,Grey = estimated,,,,,,,,,,,,,,
,,Red = Revised,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Elevations Readings are taken approximately 7:00 am,,,,,,,,,,,,,,,,
"NOTE:   As of Jan 01, 2011, we are using SETON Dam Forebay elevation instead of Lake level.",,,,,,,,,,,,,,,,
BC Hydro,Fax 604-528-8149,,,,,,,,,,,,,,,
Wuben Luo,604-528-2848,,,,,,,,,,,,,,,
Janet Wong,604-528-2142,,,,,,,,,,,,,,,
Jim McNaughton,604-528-1739,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
