BRIDGE AREA WATER DATA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MONTH:,Jun 2015,,,,,,,,,,,,,,,
Updated:,02/Jul/15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,DOWNTON,CARPENTER,TERZAGHI,SETON,SETON,SETON River (nr LIL),,CAYOOSH,,FRASER R. @ HOPE,,,,,,
,LAKE,LAKE,LLO,DAM FB,SPAWNING ,WSC Gauge,,,,,,,,,,
,ELEV. (m),ELEV. (m),FLOW,ELEV. (m),CHANNEL SYPHONS,(daily average),,FLOW (m3/s),DILUTION,FLOW (m3/s),,,,,,
DAY,@ 7k,@ 7k,(daily average),(daily average),(daily average 00-24),00:00 to 24:00,,(m3/s),%,(m3/s),,,,,,
,,,00:00 to 24:00,00:00 to 24:00,m3/s,m3/s,cfs,Daily Avg,Daily Avg,Daily Avg,,,,,,
1,727.87,639.81,14.91,236.08,2.112,32.60,1151.14,45.19,57,7750,,,,,,
2,728.27,640.14,14.97,236.08,2.112,32.56,1149.96,41.52,54,7843,,,,,,
3,728.72,640.48,15.03,236.04,2.112,32.38,1143.62,40.28,54,7874,,,,,,
4,729.15,640.81,15.09,236.04,2.112,32.17,1136.06,34.77,50,7708,,,,,,
5,729.59,641.11,15.15,236.04,2.112,32.29,1140.48,32.82,49,7529,,,,,,
6,730.02,641.41,15.21,236.01,2.112,31.94,1127.87,35.05,51,7509,,,,,,
7,730.51,641.76,15.27,235.98,2.112,31.67,1118.48,38.97,54,7494,,,,,,
8,731.03,642.12,15.34,235.97,2.112,31.56,1114.64,43.95,57,7453,,,,,,
9,731.59,642.52,15.38,235.99,2.112,31.54,1113.92,46.19,58,7335,,,,,,
10,732.07,642.86,15.42,236.00,2.112,31.45,1110.66,40.54,55,7230,,,,,,
11,732.52,643.16,15.34,236.02,2.112,31.53,1113.34,37.01,52,7139,,,,,,
12,732.93,643.45,15.10,235.99,2.112,31.34,1106.71,31.45,48,7017,,,,,,
13,733.25,643.65,15.13,235.97,2.112,31.35,1107.07,22.97,41,6763,,,,,,
14,733.48,643.80,15.16,235.98,2.112,31.32,1106.22,15.81,32,6404,,,,,,
15,733.70,643.94,17.16,236.10,2.112,38.73,1367.84,13.24,24,6033,,,,,,
16,733.96,644.05,20.01,235.98,2.112,59.80,2111.78,12.26,17,5751,,,,,,
17,734.24,644.17,20.04,235.97,2.112,59.75,2109.99,12.35,17,5499,,,,,,
18,734.52,644.24,20.05,236.11,2.112,77.84,2749.01,12.46,13,5166,,,,,,
19,734.77,644.29,20.06,236.01,2.112,98.52,3479.12,12.19,11,5095,,,,,,
20,735.02,644.29,20.06,235.94,2.112,98.18,3467.09,11.69,10,5531,,,,,,
21,735.18,644.28,20.06,235.87,2.112,97.69,3450.06,10.49,10,4993,,,,,,
22,735.33,644.28,20.05,235.97,2.112,98.41,3475.41,10.63,10,5105,,,,,,
23,735.51,644.25,20.05,235.95,2.112,98.46,3476.96,10.47,9,5333,,,,,,
24,735.75,644.26,20.05,235.88,2.112,97.91,3457.50,9.72,9,5326,,,,,,
25,736.00,644.28,20.06,236.11,2.112,99.74,3522.29,9.97,9,4952,,,,,,
26,736.30,644.30,20.06,236.01,2.112,98.83,3490.28,11.35,10,4693,,,,,,
27,736.62,644.34,20.07,235.92,2.112,97.97,3459.85,12.34,11,4602,,,,,,
28,736.97,644.39,20.08,235.92,2.112,97.87,3456.35,13.68,12,4556,,,,,,
29,737.39,644.46,20.10,236.05,2.112,98.85,3490.97,14.89,13,4527,,,,,,
30,737.90,644.58,20.12,236.07,2.112,99.28,3506.12,14.36,12,4653,,,,,,
,,,,,,, ,, ,,,,,,,
,,,,,,,,,,,,,,,,
,,Grey = estimated,,,,,,,,,,,,,,
,,Red = Revised,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Elevations Readings are taken approximately 7:00 am,,,,,,,,,,,,,,,,
"NOTE:   As of Jan 01, 2011, we are using SETON Dam Forebay elevation instead of Lake level.",,,,,,,,,,,,,,,,
BC Hydro,Fax 604-528-8149,,,,,,,,,,,,,,,
Wuben Luo,604-528-2848,,,,,,,,,,,,,,,
Janet Wong,604-528-2142,,,,,,,,,,,,,,,
Jim McNaughton,604-528-1739,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
