BRIDGE AREA WATER DATA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MONTH:,Jul 2015,,,,,,,,,,,,,,,
Updated:,10/Aug/15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,DOWNTON,CARPENTER,TERZAGHI,SETON,SETON,SETON River (nr LIL),,CAYOOSH,,FRASER R. @ HOPE,,,,,,
,LAKE,LAKE,LLO,DAM FB,SPAWNING ,WSC Gauge,,,,,,,,,,
,ELEV. (m),ELEV. (m),FLOW,ELEV. (m),CHANNEL SYPHONS,(daily average),,FLOW (m3/s),DILUTION,FLOW (m3/s),,,,,,
DAY,@ 7k,@ 7k,(daily average),(daily average),(daily average 00-24),00:00 to 24:00,,(m3/s),%,(m3/s),,,,,,
,,,00:00 to 24:00,00:00 to 24:00,m3/s,m3/s,cfs,Daily Avg,Daily Avg,Daily Avg,,,,,,
1,738.39,644.66,19.18,235.98,2.112,98.80,3488.93,13.54,12,4744,,,,,,
2,738.84,644.70,18.05,236.08,2.112,87.04,3073.64,12.34,12,4751,,,,,,
3,739.28,644.74,18.06,236.10,2.112,70.59,2492.79,11.48,14,4773,,,,,,
4,739.71,644.77,18.07,235.98,2.112,69.68,2460.70,10.77,13,4814,,,,,,
5,740.10,644.78,18.07,235.90,2.112,69.23,2444.90,9.80,12,4755,,,,,,
6,740.44,644.78,18.06,235.87,2.112,69.05,2438.34,8.71,11,4597.4,,,,,,
7,740.76,644.78,18.08,235.90,2.112,66.31,2341.85,7.86,10,4419,,,,,,
8,741.11,644.75,18.06,235.92,2.112,64.20,2267.26,7.28,10,4252,,,,,,
9,741.48,644.73,18.06,235.92,2.112,64.04,2261.45,7.03,10,4005,,,,,,
10,741.87,644.73,18.06,235.93,2.112,64.05,2261.98,6.93,9,3836,,,,,,
11,742.27,644.71,18.05,235.94,2.112,64.18,2266.39,6.86,9,3711,,,,,,
12,742.63,644.82,18.08,236.11,2.112,65.43,2310.56,6.50,9,3618,,,,,,
13,742.93,644.87,18.09,236.14,2.112,65.88,2326.38,6.04,8,3560,,,,,,
14,743.20,644.91,19.06,236.10,2.112,65.52,2313.83,5.64,8,3578,,,,,,
15,743.43,644.93,20.48,236.14,2.112,54.34,1919.16,5.17,8,3544,,,,,,
16,743.49,644.98,20.49,236.17,2.112,34.69,1224.90,4.87,12,3470,,,,,,
17,743.50,645.07,20.51,236.15,2.112,27.27,962.97,3.49,11,3448,,,,,,
18,743.54,645.15,20.53,236.15,2.112,27.25,962.22,2.44,8,3313,,,,,,
19,743.70,645.25,20.55,236.14,2.112,27.25,962.38,2.40,8,3244,,,,,,
20,743.91,645.38,20.58,236.13,2.112,27.13,958.18,2.40,8,3204,,,,,,
21,744.12,645.50,20.61,236.10,2.112,26.37,931.24,2.39,8,3164,,,,,,
22,744.23,645.60,20.63,236.07,2.112,25.18,889.15,2.37,8,3013,,,,,,
23,744.27,645.67,20.64,236.10,2.112,25.45,898.87,2.34,8,2954,,,,,,
24,744.29,645.74,20.66,236.13,2.112,25.64,905.36,2.30,8,2947,,,,,,
25,744.31,645.82,20.68,236.14,2.112,25.71,907.86,2.28,8,2971,,,,,,
26,744.31,645.88,20.69,236.16,2.112,25.96,916.70,2.27,7,2979,,,,,,
27,744.26,645.95,20.71,236.19,2.112,26.20,925.34,2.26,7,2877,,,,,,
28,744.22,646.00,20.74,236.18,2.112,23.69,836.65,2.25,8,2824,,,,,,
29,744.23,646.06,17.84,236.19,2.112,21.83,770.74,2.22,8,2860,,,,,,
30,744.23,646.13,12.89,236.14,2.112,21.34,753.60,2.21,9,2879,,,,,,
31,744.26,646.18,11.04,236.18,2.112,21.68,765.49,2.19,8,2742,,,,,,
,,,,,,,,,,,,,,,,
,,Grey = estimated,,,,,,,,,,,,,,
,,Red = Revised,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Elevations Readings are taken approximately 7:00 am,,,,,,,,,,,,,,,,
"NOTE:   As of Jan 01, 2011, we are using SETON Dam Forebay elevation instead of Lake level.",,,,,,,,,,,,,,,,
BC Hydro,Fax 604-528-8149,,,,,,,,,,,,,,,
Wuben Luo,604-528-2848,,,,,,,,,,,,,,,
Janet Wong,604-528-2142,,,,,,,,,,,,,,,
Jim McNaughton,604-528-1739,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
