BRIDGE AREA WATER DATA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MONTH:,Aug 2015,,,,,,,,,,,,,,,
Updated:,17/Aug/15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,DOWNTON,CARPENTER,TERZAGHI,SETON,SETON,SETON River (nr LIL),,CAYOOSH,,FRASER R. @ HOPE,,,,,,
,LAKE,LAKE,LLO,DAM FB,SPAWNING ,WSC Gauge,,,,,,,,,,
,ELEV. (m),ELEV. (m),FLOW,ELEV. (m),CHANNEL SYPHONS,(daily average),,FLOW (m3/s),DILUTION,FLOW (m3/s),,,,,,
DAY,@ 7k,@ 7k,(daily average),(daily average),(daily average 00-24),00:00 to 24:00,,(m3/s),%,(m3/s),,,,,,
,,,00:00 to 24:00,00:00 to 24:00,m3/s,m3/s,cfs,Daily Avg,Daily Avg,Daily Avg,,,,,,
1,744.32,646.23,11.05,236.18,2.112,21.72,767.00,2.19,8,2648,,,,,,
2,744.39,646.29,11.06,236.17,2.112,21.60,762.80,2.18,8,2640,,,,,,
3,744.41,646.35,11.06,236.17,2.112,21.61,763.14,2.18,8,2614,,,,,,
4,744.49,646.43,11.07,236.17,2.112,21.58,762.09,2.17,8,2563,,,,,,
5,744.50,646.50,11.08,236.12,2.112,21.26,750.64,2.16,8,2520,,,,,,
6,744.47,646.59,11.09,236.13,2.112,21.46,757.75,2.18,8,2499,,,,,,
7,744.47,646.67,11.10,236.13,2.112,21.31,752.66,6.09,21,2464,,,,,,
8,744.45,646.74,11.11,236.07,2.112,21.07,744.23,9.68,29,2487,,,,,,
9,744.47,646.83,11.12,236.11,2.112,21.24,750.24,9.70,29,2466,,,,,,
10,744.47,646.87,11.13,236.07,2.112,21.02,742.22,9.59,29,2523,,,,,,
11,744.47,646.91,10.01,236.07,2.112,21.06,743.64,9.38,29,2499,,,,,,
12,744.49,646.96,8.38,236.17,2.112,21.62,763.48,9.22,28,2413,,,,,,
13,744.56,647.01,6.97,236.13,2.112,21.34,753.64,9.14,28,2409,,,,,,
14,744.65,647.09,6.44,236.08,2.112,21.11,745.63,7.91,25,2384,,,,,,
15,744.73,647.15,6.45,236.08,2.112,21.13,746.07,5.82,20,2381,,,,,,
16,744.80,647.23,6.45,236.09,2.112,21.14,746.45,4.56,16,2343,,,,,,
17,744.82,647.28,,,,, ,, ,,,,,,,
18,,,,,,, ,, ,,,,,,,
19,,,,,,, ,, ,,,,,,,
20,,,,,,, ,, ,,,,,,,
21,,,,,,, ,, ,,,,,,,
22,,,,,,, ,, ,,,,,,,
23,,,,,,, ,, ,,,,,,,
24,,,,,,, ,, ,,,,,,,
25,,,,,,, ,, ,,,,,,,
26,,,,,,, ,, ,,,,,,,
27,,,,,,, ,, ,,,,,,,
28,,,,,,, ,, ,,,,,,,
29,,,,,,, ,, ,,,,,,,
30,,,,,,, ,, ,,,,,,,
31,,,,,,, ,, ,,,,,,,
,,,,,,,,,,,,,,,,
,,Grey = estimated,,,,,,,,,,,,,,
,,Red = Revised,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Elevations Readings are taken approximately 7:00 am,,,,,,,,,,,,,,,,
"NOTE:   As of Jan 01, 2011, we are using SETON Dam Forebay elevation instead of Lake level.",,,,,,,,,,,,,,,,
BC Hydro,Fax 604-528-8149,,,,,,,,,,,,,,,
Wuben Luo,604-528-2848,,,,,,,,,,,,,,,
Janet Wong,604-528-2142,,,,,,,,,,,,,,,
Jim McNaughton,604-528-1739,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
