Project Code,Data Type,RES_SEC,Date,Hour,Value
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,1,737.693
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,2,737.687
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,3,737.67
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,4,737.671
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,5,737.671
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,6,737.661
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,7,737.651
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,8,737.66
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,9,737.65
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,10,737.641
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,11,737.64
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,12,737.637
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,13,737.63
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,14,737.629
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,15,737.615
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,16,737.606
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,17,737.597
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,18,737.602
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,19,737.58
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,20,737.588
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,21,737.574
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,22,737.58
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,23,737.564
LAJ,RSE,R1 - Downtown Reservoir,2010-01-01,24,737.564
LAJ,RSE,R1 - Downtown Reservoir,2010-01-02,1,737.556
LAJ,RSE,R1 - Downtown Reservoir,2010-01-02,2,737.555
LAJ,RSE,R1 - Downtown Reservoir,2010-01-02,3,737.539
LAJ,RSE,R1 - Downtown Reservoir,2010-01-02,4,737.535
LAJ,RSE,R1 - Downtown Reservoir,2010-01-02,5,737.52
LAJ,RSE,R1 - Downtown Reservoir,2010-01-02,6,737.512
LAJ,RSE,R1 - Downtown Reservoir,2010-01-02,7,737.511
LAJ,RSE,R1 - Downtown Reservoir,2010-01-02,8,737.501
LAJ,RSE,R1 - Downtown Reservoir,2010-01-02,9,737.494
LAJ,RSE,R1 - Downtown Reservoir,2010-01-02,10,737.482
LAJ,RSE,R1 - Downtown Reservoir,2010-01-02,11,737.481
LAJ,RSE,R1 - Downtown Reservoir,2010-01-02,12,737.484
LAJ,RSE,R1 - Downtown Reservoir,2010-01-02,13,737.478
LAJ,RSE,R1 - Downtown Reservoir,2010-01-02,14,737.468
LAJ,RSE,R1 - Downtown Reservoir,2010-01-02,15,737.458
